page,会社名,勤務地
8,有限会社タバタ産業 ,【転勤なし◎】長野市
8,長野県警察 | 20,長野県警察本部、長野
8,ヴェオリア・ジェネッ,【マイカー通勤OK◎
8,株式会社ヒルストンキ,【北信】 長野市、須
8,株式会社小松電気設備,【本社】 長野県塩尻
8,マーベルキャリアコン,長野県内各地 ＊人材
8,新日本設計株式会社 ,◆名古屋駅からも徒歩
8,アスリートFA株式会,【本社】 長野県諏訪
8,新日本設計株式会社 ,◆名古屋駅からも徒歩
8,降幡自動車株式会社 ,【本社】 長野県松本
8,株式会社ユリーカ |,【本社】 長野県塩尻
8,佐田建設株式会社 |,東北営業所／宮城県仙
8,株式会社オサカベ自動,【転勤なし／U・Iタ
8,株式会社サテライトネ,★埼玉・東京・新潟・
8,ニッパツ・メック株式,【車通勤OK】【転勤
8,美保テクノス株式会社,【 転勤ナシ／車通勤
8,専門学校 岡山情報ビ,【 転勤なし／JR岡
8,専門学校 岡山情報ビ,【 転勤なし／JR岡
10,スター精密株式会社 ,☆「菊川駅」より工場
10,サンコーコンサルタン,【名古屋支店】 愛知
10,社会福祉法人　信濃の,◆生活介護事業所　ぴ
10,日本綜合建設株式会社,長野本社または松本支
10,アラインテック株式会,【UIターン歓迎／マ
10,株式会社ケイケンシス,【本社】 長野県長野
10,アラインテック株式会,【UIターン歓迎／マ
10,アラインテック株式会,【UIターン歓迎／マ
10,日本綜合建設株式会社,長野本社または松本支
10,日本綜合建設株式会社,長野本社 ◎リモート
10,株式会社アンドー |,本社または各支店 【
10,株式会社小山産業 |,＼ 転勤なし ／ 【
10,株式会社イチネン |,◆大阪本社 大阪市淀
10,株式会社 シン技術コ,本社／札幌市白石区栄
10,税理士法人三澤会計 ,長野県諏訪市高島3-
10,株式会社BBSアウト,《転勤なし／U・Iタ
10,株式会社BBSアウト,《転勤なし／U・Iタ
10,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
10,株式会社BBSアウト,《転勤なし／駅近オフ
10,ニチアスセラテック株,【U・Iターン歓迎！
10,日本ニューホランド株,【全国の各営業所】 
10,諏訪金属株式会社 |,【本店】 長野県諏訪
10,株式会社デイリーはや,【新潟越路工場】 新
10,損害保険ジャパン株式,◇転居を伴う転勤なし
10,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
10,大和ライフネクスト株,【希望エリアを最大限
10,株式会社 一迅社 |,・本社勤務：新宿区 
10,中部フーズ株式会社 ,■東海三県募集！勤務
10,中部フーズ株式会社 ,・岐阜県多治見市高根
10,株式会社創和設計 |,【本社】 長野県上伊
10,中部フーズ株式会社 ,■東海三県募集！勤務
10,塩尻市役所,市役所本庁舎、支所 
10,有限会社タバタ産業 ,【転勤なし◎】長野市
10,長野県警察 | 20,長野県警察本部、長野
10,ヴェオリア・ジェネッ,【マイカー通勤OK◎
10,株式会社ヒルストンキ,【北信】 長野市、須
10,株式会社小松電気設備,【本社】 長野県塩尻
10,マーベルキャリアコン,長野県内各地 ＊人材
10,新日本設計株式会社 ,◆名古屋駅からも徒歩
10,アスリートFA株式会,【本社】 長野県諏訪
10,新日本設計株式会社 ,◆名古屋駅からも徒歩
10,降幡自動車株式会社 ,【本社】 長野県松本
10,株式会社ユリーカ |,【本社】 長野県塩尻
10,佐田建設株式会社 |,東北営業所／宮城県仙
10,株式会社オサカベ自動,【転勤なし／U・Iタ
10,株式会社サテライトネ,★埼玉・東京・新潟・
10,ニッパツ・メック株式,【車通勤OK】【転勤
10,美保テクノス株式会社,【 転勤ナシ／車通勤
10,専門学校 岡山情報ビ,【 転勤なし／JR岡
10,専門学校 岡山情報ビ,【 転勤なし／JR岡
11,藤田エンジニアリング,【本社】 群馬県高崎
11,株式会社日設 | 【,希望勤務地を考慮しま
11,株式会社刷新,【東京支店】 東京都
11,ホクシンハウス株式会,長野市、松本市、佐久
11,株式会社フジキン |,岩手県奥州市江刺岩谷
