,page,会社名,勤務地
474,10,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
475,10,大和ライフネクスト株,【希望エリアを最大限
476,10,株式会社 一迅社 |,・本社勤務：新宿区 
477,10,中部フーズ株式会社 ,■東海三県募集！勤務
478,10,中部フーズ株式会社 ,・岐阜県多治見市高根
479,10,株式会社創和設計 |,【本社】 長野県上伊
480,10,中部フーズ株式会社 ,■東海三県募集！勤務
481,10,塩尻市役所,市役所本庁舎、支所 
482,10,有限会社タバタ産業 ,【転勤なし◎】長野市
483,10,長野県警察 | 20,長野県警察本部、長野
484,10,ヴェオリア・ジェネッ,【マイカー通勤OK◎
485,10,株式会社ヒルストンキ,【北信】 長野市、須
486,10,株式会社小松電気設備,【本社】 長野県塩尻
487,10,マーベルキャリアコン,長野県内各地 ＊人材
488,10,新日本設計株式会社 ,◆名古屋駅からも徒歩
489,10,アスリートFA株式会,【本社】 長野県諏訪
490,10,新日本設計株式会社 ,◆名古屋駅からも徒歩
491,10,降幡自動車株式会社 ,【本社】 長野県松本
